Path difference [nm]	Intensity [a.u.]
-13056	12.0067
-13008	10.8567
-12960	7.1833
-12912	13.3
-12864	10.49
-12816	13.16
-12768	11.85
-12720	7.2033
-12672	10.0533
-12624	12.43
-12576	8.0633
-12528	10.17
-12480	10.5367
-12432	9.4633
-12384	9.69
-12336	8.8267
-12288	9.2833
-12240	10.39
-12192	12.6967
-12144	9.7967
-12096	11.3567
-12048	10.2267
-12000	10.0767
-11952	9.84
-11904	14.7767
-11856	10.1567
-11808	13.8733
-11760	12.1133
-11712	14.2533
-11664	12.5267
-11616	11.0567
-11568	14.6567
-11520	12.9933
-11472	15.9533
-11424	13.7867
-11376	10.8633
-11328	13.5333
-11280	10.5267
-11232	10.6733
-11184	11.81
-11136	12.11
-11088	10.4533
-11040	11.0633
-10992	12.0333
-10944	12.7533
-10896	13.59
-10848	11.8667
-10800	12.37
-10752	10.6033
-10704	11.2067
-10656	12.0533
-10608	14.75
-10560	10.9833
-10512	11.2433
-10464	11.2667
-10416	12.7767
-10368	11.4367
-10320	12.17
-10272	9.4767
-10224	11.97
-10176	10.2767
-10128	11.7933
-10080	13.49
-10032	11.5167
-9984	9.94
-9936	10.9867
-9888	13.22
-9840	11.8467
-9792	12.9333
-9744	11.6333
-9696	9.9367
-9648	10.2567
-9600	11.54
-9552	12.94
-9504	11.0467
-9456	11.75
-9408	11.1167
-9360	11.2567
-9312	11.3067
-9264	9.7633
-9216	11.4533
-9168	12.0533
-9120	9.1433
-9072	12.6233
-9024	11.0433
-8976	11.2833
-8928	12.1133
-8880	12.44
-8832	14.4767
-8784	11.3633
-8736	14.72
-8688	12.48
-8640	11.92
-8592	11.2767
-8544	12.2
-8496	12.7633
-8448	14.8633
-8400	13.19
-8352	13.4433
-8304	13.09
-8256	11.9133
-8208	12.1867
-8160	12.1
-8112	10.0667
-8064	12.51
-8016	13.0133
-7968	12.8567
-7920	12.3733
-7872	12.38
-7824	12.5167
-7776	12.6833
-7728	12.5733
-7680	10.61
-7632	9.3233
-7584	8.65
-7536	11.1667
-7488	12.51
-7440	9.0367
-7392	9.56
-7344	10.7267
-7296	12.6833
-7248	8.7467
-7200	11.05
-7152	12.1467
-7104	9.5133
-7056	12.97
-7008	11.1967
-6960	8.7633
-6912	10.75
-6864	11.7633
-6816	11.51
-6768	9.8933
-6720	11.46
-6672	9.1167
-6624	10.5633
-6576	11.22
-6528	11.34
-6480	11.5167
-6432	12.0033
-6384	10.3667
-6336	11.2333
-6288	9.5067
-6240	10.7467
-6192	11.0833
-6144	11.5267
-6096	10.9033
-6048	10.7033
-6000	9.5867
-5952	11.0767
-5904	8.9833
-5856	10.18
-5808	10.03
-5760	9.9667
-5712	12.1467
-5664	10.9767
-5616	11.4367
-5568	11.1167
-5520	10.59
-5472	13.56
-5424	10
-5376	11.5967
-5328	10.1667
-5280	10.7267
-5232	7.62
-5184	9.5967
-5136	9.1667
-5088	12.5033
-5040	9.4833
-4992	12.06
-4944	13.7667
-4896	12.84
-4848	13.0367
-4800	13.23
-4752	12.7267
-4704	10.6633
-4656	8.6067
-4608	9.5067
-4560	12.5167
-4512	14.2967
-4464	12.37
-4416	12.47
-4368	12.54
-4320	14.5067
-4272	11.37
-4224	12.3867
-4176	12.2567
-4128	10.7767
-4080	10.4367
-4032	10.79
-3984	10.6333
-3936	12.8233
-3888	12.6433
-3840	10.1467
-3792	11.5533
-3744	12.4533
-3696	12.8233
-3648	17.0633
-3600	11.68
-3552	12.36
-3504	10.3433
-3456	10.2767
-3408	10.0633
-3360	12.7067
-3312	9.36
-3264	10.73
-3216	12.4233
-3168	15.74
-3120	10.21
-3072	14.3
-3024	12.6867
-2976	9.18
-2928	6.26
-2880	10.8933
-2832	11.2067
-2784	12.2033
-2736	13.1533
-2688	16.2133
-2640	14.3567
-2592	13.4133
-2544	12.8167
-2496	11.6633
-2448	13.23
-2400	14.78
-2352	10.43
-2304	12.6467
-2256	13.5567
-2208	12.75
-2160	12.7667
-2112	10.8067
-2064	14.0067
-2016	10.1167
-1968	10.3033
-1920	13.7033
-1872	11.4767
-1824	16.72
-1776	16.3433
-1728	15.74
-1680	14.8167
-1632	13.6667
-1584	14.7
-1536	11.5733
-1488	9.6067
-1440	8.5167
-1392	11.9667
-1344	13.5767
-1296	16.7867
-1248	17.6833
-1200	18.74
-1152	18.11
-1104	16.17
-1056	13.38
-1008	13.75
-960	11.3133
-912	9.96
-864	5.53
-816	8.0833
-768	11.3
-720	10.23
-672	19.4833
-624	22.4233
-576	20.46
-528	22.11
-480	20.49
-432	17.2733
-384	8.6433
-336	4.0367
-288	0.57
-240	2.8967
-192	6.61
-144	10.6967
-96	18.49
-48	23.2367
0	27.9267
48	26.6133
96	24.1867
144	11.4067
192	7.3967
240	5.26
288	1.4533
336	3.0167
384	3.48
432	10.78
480	14.53
528	19.37
576	22.91
624	20.8767
672	18.1633
720	14.1467
768	11.83
816	5.29
864	8.6367
912	6.59
960	7.63
1008	11.5867
1056	14.38
1104	18.2967
1152	17.8
1200	19.16
1248	16.9633
1296	16.4167
1344	15.4533
1392	12.35
1440	13.4267
1488	9.98
1536	11.0933
1584	10.4
1632	12.3833
1680	14.5533
1728	17.14
1776	14.22
1824	15.7767
1872	12.63
1920	13.3
1968	15.9633
2016	12.8833
2064	11.6533
2112	13.8833
2160	16.23
2208	13.7167
2256	13.4233
2304	13.3667
2352	12.97
2400	11.76
2448	14.6467
2496	11.24
2544	12.1333
2592	12.5467
2640	16.7333
2688	16.95
2736	15.5333
2784	16.9167
2832	12.12
2880	11.5567
2928	10.4367
2976	12.4433
3024	12.2767
3072	12.8367
3120	11.8367
3168	16.75
3216	17.1767
3264	15.8633
3312	13.5533
3360	12.1633
3408	9.1967
3456	12.8767
3504	13.55
3552	15.3667
3600	14.2633
3648	12.8467
3696	14.39
3744	14.69
3792	12.4167
3840	12.8033
3888	13.2333
3936	11.61
3984	13.9633
4032	14.1133
4080	12.78
4128	13.9233
4176	12.25
4224	12.05
4272	13.9867
4320	14.48
4368	16.63
4416	13.5533
4464	13.6033
4512	14.04
4560	14.3467
4608	10.3267
4656	13.13
4704	13.3867
4752	11.7167
4800	13.26
4848	16.1
4896	15
4944	15.4733
4992	13.5167
5040	11.0767
5088	12.6567
5136	10.0267
5184	12.75
5232	12.4367
5280	13.52
5328	11.9133
5376	11.8067
5424	16.3933
5472	16.5267
5520	11.1533
5568	9.12
5616	13.34
5664	13.84
5712	15.6467
5760	12.8067
5808	11.6733
5856	12.7233
5904	10.9133
5952	12.4067
6000	14.0367
6048	16.19
6096	13.3967
6144	14.58
6192	12.39
6240	15.64
6288	14.53
6336	13.1433
6384	10.69
6432	14.1533
6480	13.3033
6528	13.03
6576	12.5367
6624	12.9967
6672	15.82
6720	15.7367
6768	16.7567
6816	14.1167
6864	13.79
6912	9.24
6960	8.1333
7008	10.2633
7056	11.6867
7104	13.6167
7152	12.8667
7200	10.6467
7248	12.06
7296	11.1767
7344	11.7233
7392	12.2667
7440	11.21
7488	13.6267
7536	11.3167
7584	11.0667
7632	12.2867
7680	10.2833
7728	8.3067
7776	10.65
7824	10.14
7872	12
7920	12.22
7968	10.2867
8016	11.56
8064	13.2633
8112	12.5967
8160	11.0967
8208	9.2733
8256	10.09
8304	12.68
8352	12.19
8400	11.94
8448	13.2067
8496	13.3067
8544	13.8167
8592	9.71
8640	11.44
8688	12.2733
8736	14.8233
8784	13.2567
8832	14.02
8880	12.66
8928	10.7567
8976	12.2667
9024	13.9233
9072	12.82
9120	12.74
9168	11.7067
9216	9.7533
9264	12.3767
9312	12.29
9360	13.9233
9408	14.1433
9456	9.4533
9504	11.47
9552	11.2667
9600	12.1367
9648	11.07
9696	12.3867
9744	9.3033
9792	11.4967
9840	15.2567
9888	11.7633
9936	10.1733
9984	11.8667
10032	11.48
10080	11.77
10128	12.1733
10176	11.5533
10224	10.0233
10272	11.9733
10320	14.5367
10368	13.01
10416	8.76
10464	13.0867
10512	12.44
10560	11.7167
10608	13.1
10656	11.99
10704	10.2067
10752	10.1367
10800	9.27
10848	8.52
10896	10.6733
10944	10.8533
10992	7.9333
11040	12.5133
11088	11.3233
11136	10.73
11184	11.1867
11232	9.8767
11280	7.99
11328	12.5067
11376	9
11424	10.75
11472	13.9
11520	10.8433
11568	13.09
11616	11.7767
11664	9.3867
11712	12.01
11760	12.6167
11808	8.0133
11856	9.3433
11904	10.2333
11952	10.1867
12000	9.8467
12048	11.18
12096	13.15
12144	9.92
12192	10.7867
12240	10.44
12288	9.63
12336	11.7733
12384	13.36
12432	10.1133
12480	9.0467
12528	10.52
12576	9.8533
12624	11.58
12672	11.8967
12720	10.5967
12768	12.1567
12816	11.2633
12864	12.3333
12912	12.9467
12960	10.8633
13008	11.56
13056	11.4433
13104	12.75
13152	10.9867
13200	13.86
13248	12.9433
13296	11.1567
13344	12.2467
13392	11.27
13440	13.9433
13488	12.8433
13536	11.1633
13584	10.0433
13632	10.6433
13680	12.1433
13728	13.4533
13776	11.5267
13824	12.1067
13872	12.2167
13920	9.9367
13968	11.7233
14016	12.32
14064	10.46
14112	13.8267
14160	12.9267
14208	11.5933
14256	10.5567
14304	12.1333
14352	12.5067
14400	11.2567
14448	11.95
14496	11.7067
14544	10.9633
14592	9.5533
14640	9.7833
14688	12.6267
14736	10.4733
14784	8.9967
14832	10.58
14880	10.37
14928	9.7133
14976	12.83
15024	11.64
15072	11.1767
15120	11.1433
15168	12.8233
15216	13.5167
15264	13.3267
15312	10.1267
15360	9.44
15408	12.0533
15456	12.72
15504	11.31
15552	10.79
15600	11.8767
15648	9.1767
15696	10.4333
15744	11.2933
15792	12.5167
15840	12.79
15888	9.45
15936	10.0467
15984	13.1433
16032	14.6067
16080	8.9333
16128	12.35
16176	12.2667
16224	11.04
16272	11.6233
16320	12.2667
16368	8.9367
16416	14.72
16464	10.2567
16512	9.9233
16560	10.3467
16608	12.5133
16656	12.27
16704	12.58
16752	9.8633
16800	10.9933
16848	12.7333
16896	11.13
16944	11.59
16992	11.4867
17040	8.6633
17088	11.9467
17136	11.9767
17184	12.04
17232	11.9333
17280	12.7633
17328	10.74
17376	10.33
17424	13.08
17472	11.9067
17520	12.7533
17568	12.17
17616	12.78
17664	12.2867
17712	11.2933
17760	11.97
17808	11.3833
17856	11.4833
17904	13.31
17952	11.81
18000	11.3233
18048	12.6133
18096	11.3967
18144	12.4133
18192	11.0733
18240	12.42
18288	12.5233
18336	10.9367
18384	12.3233
18432	11.2567
18480	12.2733
18528	11.5
18576	11.2333
18624	10.0233
18672	12.66
18720	12.2267
18768	13.0833
18816	9.9933
18864	12.4867
18912	11.9067
18960	12.3033
19008	14.16
19056	12.2633
19104	11.0067
19152	10.1667
19200	10.2367
19248	8.72
19296	12.4967
19344	12.8233
19392	8.22
19440	13.7233
19488	11.0767
19536	11.2733
19584	11.8767
19632	13.9267
19680	11.3867
19728	12.3833
19776	10.0733
19824	13.77
19872	11.8233
19920	13.2567
19968	12.0967
20016	12.48
20064	9.9967
20112	12.08
20160	9.3833
20208	9.8567
20256	10.6967
20304	11.9367
20352	11.7933
20400	10.8533
20448	10.9233
20496	12.82
20544	9.87
20592	10.5267
20640	14.48
20688	12.15
20736	11.0667
20784	12.2567
20832	9.4067
20880	8.1233
20928	11.67
20976	10.6
21024	12.31
21072	7.3533
21120	10.97
21168	10.6767
21216	13.37
21264	10.9733
21312	12.1467
21360	9.0067
21408	11.82
21456	10.2067
21504	13.7167
21552	13.3133
21600	13.2233
21648	10.6533
21696	9.2167
21744	10.5433
21792	13.9133
21840	13.1667
21888	10.7433
21936	11.3633
21984	9.02
22032	10.67
22080	13.0567
22128	11.9333
22176	11.0033
22224	15.3
22272	10.5067
22320	13.1533
22368	10.04
22416	11.1567
22464	10.9467
22512	10.9967
22560	9.2167
22608	9.14
22656	14.4633
22704	9.3567
22752	6.0733
22800	10.3967
22848	10.5833
22896	10.46
22944	12.32
22992	12.5067
23040	10.2
23088	10.58
23136	11.7133
23184	12.1067
23232	10.45
23280	11.3033
23328	8.9
23376	8.6333
23424	11.1467
23472	9.8467
23520	12.1033
23568	9.2
23616	9.9733
23664	10.7667
23712	10.64
23760	11.7267
23808	10.4967
23856	9.8033
23904	10.4867
23952	11.5633
24000	9.63
24048	7.0133
24096	7.81
24144	10.79
24192	10.66
